충전소ID,충전기ID,2023년 01월 충전횟수,2023년 01월 충전량,2023년 02월 충전횟수,2023년 02월 충전량,2023년 03월 충전횟수,2023년 03월 충전량,2023년 04월 충전횟수,2023년 04월 충전량,2023년 05월 충전횟수,2023년 05월 충전량,2023년 06월 충전횟수,2023년 06월 충전량,2023년 07월 충전횟수,2023년 07월 충전량,2023년 08월 충전횟수,2023년 08월 충전량,2023년 09월 충전횟수,2023년 09월 충전량
ME18B184,1,364,6546.71,312,5740.26,270,4789.38,211,4081.76,220,4804.4,227,4730.33,187,4122.53,191,3587.64,173,3502
ME18B185,1,263,5494.63,220,4609.1,135,2576.58,179,4238.88,188,4490.96,209,4784.38,109,2350.21,133,2695.5,163,3008.28
ME18B186,1,341,7158.7,327,6895.95,269,6111.61,224,4429.5,234,5590.82,226,5945.56,265,6823.6,289,7316.95,265,6510.74
ME18B187,1,97,2354.3,94,2269.28,44,1071,42,941.57,44,1183.24,54,1297.54,58,1431.59,34,1003.59,32,941.32
ME18B278,11,81,2089.04,39,1061.62,60,1633.41,43,1053.52,43,1178.37,44,1311.28,45,1551.83,46,1354.34,32,1044.75
ME18B278,12,94,2431.22,65,2015.14,33,891.25,43,1387.32,39,1251.12,41,1242.55,39,1142.18,36,934.74,37,1148.63
ME18B279,11,417,9141.13,346,8216.26,394,9282.01,351,9284.47,344,9077.46,315,7674.45,224,6023.68,302,7964.4,265,6414.05
ME18B279,12,444,8772.52,357,8169.38,330,7242.99,283,6752.78,338,7595.19,221,5620.96,213,5642.35,270,7479.52,283,6677.85
ME18B280,11,252,5708.64,203,3953.4,163,3385.91,144,3511.16,141,3331.33,108,2597.15,139,3637.52,146,3796.26,141,3434.4
ME18B280,12,232,5817.19,182,5200.31,180,5135.52,145,4113.44,120,3366.82,123,3831.04,157,4774.19,172,5191.36,159,4784.89
ME18B281,11,10,216.82,13,278.3,7,132.88,9,309.64,9,209.85,12,397.94,11,166.33,23,578.5,12,191.27
ME18B281,12,28,645.88,42,928.6,36,876.67,30,869.38,30,893.29,24,675.46,35,1121.38,25,734.03,34,1142.42
ME18B282,11,245,5697.53,265,6483.72,214,5257.21,238,6110.19,261,6706.02,220,5854.23,248,6548.04,289,8071.16,289,8080.07
ME18B282,12,363,9115.43,258,7030.28,207,5493.23,213,6135.58,260,7303.19,223,6631.39,217,6101.7,230,6756.35,232,6534.11
ME18B283,11,109,2349.85,97,2293.96,75,1625.14,54,1328.72,57,1471.17,68,1812.36,61,1789.07,58,1496.41,51,1313.73
ME18B283,12,134,2828.53,112,2239.31,59,1435.84,53,1347.58,32,887.53,54,1453.54,54,1485.41,62,1527.44,51,1351.97
ME18B284,11,270,4888.33,213,3939.52,137,2605.57,150,3011.52,134,2488.07,155,3264.08,159,3468.42,139,2594.21,103,2201.53
ME18B284,12,165,4163.91,134,3393.18,123,2787.71,69,2034.65,85,2369.86,62,2013.79,84,2061.79,72,1697.53,108,2121.66
ME18B286,1,347,6587.86,295,5362.11,230,4238.64,169,3399.3,167,3307.5,125,2463.03,0,0,0,0,0,0
ME18B286,2,408,6826.2,368,6325.91,323,5772.73,258,4984.11,230,4633.34,164,3186.94,0,0,0,0,0,0
ME18B287,11,111,2196.47,85,1920.91,58,1440.87,67,1861.47,51,1316.23,69,1427.56,62,1480.73,53,1107.66,63,1461.23
ME18B287,12,138,3213.88,134,3366.26,105,2662.95,99,2659.25,104,2667.43,116,3228.09,92,2881.63,105,2900.4,87,2413.99
ME18B288,11,129,3047.51,145,3231.69,65,1743.04,77,2085.78,93,2661.7,101,3092.92,111,3466.41,83,2344.07,73,2130.27
ME18B288,12,223,4813.54,168,4064.33,176,5148.03,125,3745.69,131,4163.74,107,3167.26,147,4636.82,144,4371,118,3360.4
ME18B289,11,346,9347.29,243,6445.38,245,6716.78,215,5896.2,85,2466.52,32,764.7,127,3477.1,172,4449.74,138,3489.15
ME18B289,12,345,8300.39,284,6766.22,242,5609.48,212,5056.89,87,2263.98,20,525.33,123,2981.18,133,3336.13,124,2833.06
ME18B290,11,185,4382.77,152,3598.97,114,3199.94,95,2540.51,80,2478.57,85,2514.15,78,2363.12,87,2906.91,94,2739.8
ME18B290,12,75,1745.56,66,1274.39,45,995.21,24,629.79,22,569.39,29,723.61,22,494.53,47,1411.9,31,941.89
ME18B406,1,241,5550.31,179,3756.5,177,3870.59,139,3032.61,227,5488.55,182,4288.28,163,4053.27,173,4367.46,185,5276.56
